img,name,direct,geschlecht,id,href,ageGroup,lastnamefirst,federalState,party,job,office
/blueprint/servlet/resource/image/867302/3x4/108/144/184bc00cf2fd1afb23b7c74f37bff03/D4E54306EA06E624C4F1117B770A8E22/wegge_carmen_bild.jpg,Carmen Wegge,0,weiblich,860290,/abgeordnete/biografien/W/wegge_carmen-860290,30 - 34 Jahre,"Wegge, Carmen",Bayern,SPD,Juristin,<Element p at 0x16ec165c0>
/blueprint/servlet/resource/image/864836/3x4/108/144/f2f162f9ad4ab9e7a9e74a6a17b2edbd/E1952D2CACBA9DE8734B800C2501E057/oellers_wilfried_gross.jpg,Wilfried Oellers,1,männlich,857818,/abgeordnete/biografien/O/oellers_wilfried-857818,45 - 49 Jahre,"Oellers, Wilfried",Nordrhein-Westfalen,CDU/CSU,Rechtsanwalt,<Element p at 0x1709fbd40>
/blueprint/servlet/resource/image/870138/3x4/108/144/54a108a6d880dda909a84fe965246fa7/4CDC08C7A9337AAD772E7948C4BDA01A/wegling_melanie_gross.jpg,Melanie Wegling,1,weiblich,860676,/abgeordnete/biografien/W/wegling_melanie-860676,30 - 34 Jahre,"Wegling, Melanie",Hessen,SPD,Managerin im strategischen Vertrieb,<Element p at 0x170861540>
/blueprint/servlet/resource/image/862316/3x4/108/144/fc28749cc78d13d2a729fe64bd5705e1/40F8FBFBBB27692DD2D17FF4B1254140/oppelt_moritz.jpg,Moritz Oppelt,1,männlich,861820,/abgeordnete/biografien/O/oppelt_moritz-861820,35 - 39 Jahre,"Oppelt, Moritz",Baden-Württemberg,CDU/CSU,Jurist,<Element p at 0x16ea52e00>
/blueprint/servlet/resource/image/864264/3x4/108/144/6b15aa32137403f2ad6ccccae303d691/075A81631DE0369CAD460A0153C8CD55/weingarten_joe_gross.jpg,Dr. Joe Weingarten,1,männlich,858196,/abgeordnete/biografien/W/weingarten_joe-858196,60 - 64 Jahre,"Weingarten, Dr. Joe",Rheinland-Pfalz,SPD,Diplom-Verwaltungswissenschaftler,<Element p at 0x16e7a0980>
/blueprint/servlet/resource/image/864846/3x4/108/144/6ee3e9f4bdbecda4998548209d3b7b98/1F5DCA96A1D98FE5D87DE9EB3E9DA491/ossner_florian_bild.jpg,Florian Oßner,1,männlich,857822,/abgeordnete/biografien/O/ossner_florian-857822,40 - 44 Jahre,"Oßner, Florian",Bayern,CDU/CSU,Diplom-Volkswirt (Univ.),<Element p at 0x170638080>
/blueprint/servlet/resource/image/862484/3x4/108/144/18e114650f3cc1740ec9de2be8574122/0DE5174647627623D22F299F8BB9360C/werner_lena.jpg,Lena Werner,0,weiblich,861196,/abgeordnete/biografien/W/werner_lena-861196,25 - 29 Jahre,"Werner, Lena",Rheinland-Pfalz,SPD,Projektmanagerin,<Element p at 0x16ea4bd80>
/blueprint/servlet/resource/image/864848/3x4/108/144/c2a755fd23daef9c308388f00d5136a6/C700F7D87CE494B4E62490E6F4CC24B1/oster_josef_gross.jpg,Josef Oster,1,männlich,857816,/abgeordnete/biografien/O/oster_josef-857816,50 - 54 Jahre,"Oster, Josef",Rheinland-Pfalz,CDU/CSU,Diplom-Verwaltungswirt (FH),<Element p at 0x16e751940>
/blueprint/servlet/resource/image/864252/3x4/108/144/e24c5ff48ac0acbf8516c0ebcc22ae1e/EDF058D17C6D0A5DDBF1737D53B37978/westphal_bernd_gross.jpg,Bernd Westphal,1,männlich,858148,/abgeordnete/biografien/W/westphal_bernd-858148,60 - 64 Jahre,"Westphal, Bernd",Niedersachsen,SPD,Chemielaborant,<Element p at 0x16eb6c040>
/blueprint/servlet/resource/image/864850/3x4/108/144/5ef279f653803937811d8991cc99add1/E604E9CDEB302A7A1EE90BAF6B81A8BA/otte_henning_gross.jpg,Henning Otte,1,männlich,857830,/abgeordnete/biografien/O/otte_henning-857830,55 - 59 Jahre,"Otte, Henning",Niedersachsen,CDU/CSU,"Jurist, Prokurist",<Element p at 0x16e9bc6c0>
/blueprint/servlet/resource/image/864242/3x4/108/144/81933b9c0ccdf1236454ae836654abe0/5EC62791BB0FF7733705B64E18C57658/wiese_dirk_gross.jpg,Dirk Wiese,0,männlich,858180,/abgeordnete/biografien/W/wiese_dirk-858180,40 - 44 Jahre,"Wiese, Dirk",Nordrhein-Westfalen,SPD,Jurist,<Element p at 0x16ed4d7c0>
/blueprint/servlet/resource/image/522526/3x4/108/144/2cddc1318fc7382ebc9647f5c7e1a981/C4C01859923B95371B0E29D51A2E7BC9/pahlmann_ingrid_gross.jpg,Ingrid Pahlmann,0,weiblich,857862,/abgeordnete/biografien/P/pahlmann_ingrid-857862,65 - 69 Jahre,"Pahlmann, Ingrid",Niedersachsen,CDU/CSU,Hauswirtschaftsleiterin,<Element p at 0x16ed9e780>
/blueprint/servlet/resource/image/867454/3x4/108/144/2f5fb6b3cf4699e38d072c68a0ed4280/0A9B0F8D336FB4E188D3FD5CA078CE27/wollmann_herbert_bild.jpg,Dr. Herbert Wollmann,1,männlich,861474,/abgeordnete/biografien/W/wollmann_herbert-861474,70 und älter,"Wollmann, Dr. Herbert",Sachsen-Anhalt,SPD,Arzt,<Element p at 0x16ea36d80>
/blueprint/servlet/resource/image/864916/3x4/108/144/920d59f8f81db4463022d029ae6c86a0/A6AF6487F7DE4F008EC43EEEA70054EF/pilsinger_stephan_gross.jpg,Stephan Pilsinger,1,männlich,857848,/abgeordnete/biografien/P/pilsinger_stephan-857848,35 - 39 Jahre,"Pilsinger, Stephan",Bayern,CDU/CSU,Arzt,<Element p at 0x16e789dc0>
/blueprint/servlet/resource/image/864970/3x4/108/144/fc17583906f662eda7e71a32a5c5b900/61EF29C1BC22692C12DBE8720D0EC8FB/yueksel_guelistan_gross.jpg,Gülistan Yüksel,0,weiblich,858204,/abgeordnete/biografien/Y/yueksel_guelistan-858204,60 - 64 Jahre,"Yüksel, Gülistan",Nordrhein-Westfalen,SPD,Apothekenhelferin (jetzt PKA),<Element p at 0x16e971940>
/blueprint/servlet/resource/image/864910/3x4/108/144/e32322e3bc5fa0f5d98cd43874e03803/A2683E49997CBB9F7AE7C9B7F225BE4F/ploss_christoph_bild.jpg,Dr. Christoph Ploß,0,männlich,857842,/abgeordnete/biografien/P/ploss_christoph-857842,35 - 39 Jahre,"Ploß, Dr. Christoph",Hamburg,CDU/CSU,Historiker,<Element p at 0x16e8019c0>
/blueprint/servlet/resource/image/864856/3x4/108/144/1c27ac5189d2da5338661da5bcbe3e51/82A6097622A26C205DF72339B4310365/zierke_stefan_gross.jpg,Stefan Zierke,1,männlich,858206,/abgeordnete/biografien/Z/zierke_stefan-858206,50 - 54 Jahre,"Zierke, Stefan",Brandenburg,SPD,Werkzeugmacher/ Reiseverkehrskaufmann/ Tourismusfachwirt,<Element p at 0x16e7c7b40>
/blueprint/servlet/resource/image/869292/3x4/108/144/bcbfbe2a40fe8b0a5e860e6b688058ca/804AB7A8357247D9876CE219AC54A61E/plum_martin_gross.jpg,Dr. Martin Plum,1,männlich,861042,/abgeordnete/biografien/P/plum_martin-861042,40 - 44 Jahre,"Plum, Dr. Martin",Nordrhein-Westfalen,CDU/CSU,,<Element p at 0x16e74cf00>
/blueprint/servlet/resource/image/864854/3x4/108/144/27558413450ae1020876fad7e1879c04/379E49D54B02EB4C7290B5DB16F319C6/zimmermann_jens_gross.jpg,Dr. Jens Zimmermann,1,männlich,858214,/abgeordnete/biografien/Z/zimmermann_jens-858214,40 - 44 Jahre,"Zimmermann, Dr. Jens",Hessen,SPD,Diplom-Kaufmann,<Element p at 0x17031a340>
/blueprint/servlet/resource/image/864192/3x4/108/144/ce66479c82477097f36b75ce7ea18605/D9934C3DDD3F4F8E718CC771F37AF801/rachel_thomas_gross.jpg,Thomas Rachel,1,männlich,857924,/abgeordnete/biografien/R/rachel_thomas-857924,60 - 64 Jahre,"Rachel, Thomas",Nordrhein-Westfalen,CDU/CSU,Politikwissenschaftler,<Element p at 0x1703630c0>
