date;title;vote
26.09.2019;Gesetzentwurf deutsch-französische Zusammenarbeit und Integration;Nicht abg.
                                                    
26.09.2019;Änderungsantrag der AfD - Stasi-Unterlagen-Gesetz;Nicht abg.
                                                    
26.09.2019;Beschlussempfehlung zu Antrag FDP "Weltweit mehr Wald für den Klimaschutz";Ja
28.06.2019;Antrag Die Linke: Klimanotstand anerkennen;Nein
28.06.2019;Gesetzentwurf Bündnis 90/Die Grünen: Kohlekraftwerk-Sofortmaßnahme-Gesetz;Nein
28.06.2019;Bundeswehreinsatz in Libanon (UNIFIL);Ja
28.06.2019;Bundeswehreinsatz in Kosovo (KFOR);Ja
07.06.2019;Änderung des Asylbewerberleistungsgesetzes;Ja
07.06.2019;Entwurf eines Fachkräfteeinwanderungsgesetzes;Ja
07.06.2019;Entwurf eines Zweiten Gesetzes zur besseren Durchsetzung der Ausreisepflicht;Ja
06.06.2019;Erreichung der Klimaziele;Ja
06.06.2019;Bekämpfung illegaler Beschäftigung;Ja
17.05.2019;BDS-Bewegung verurteilen - Existenz des Staates Israel schützen;Nicht abg.
                                                    
16.05.2019;Änderung des Bundesausbildungsförderungsgesetzes (26. BAFöGÄndG) (Gesetzentwurf der Bundesregierung);Ja
16.05.2019;Änderung des Bundesausbildungsförderungsgesetzes (26. BAFöGÄndG) (Änderungsantrag Bündnis 90/Die Grünen);Nein
16.05.2019;Änderung des Bundesausbildungsförderungsgesetzes (26. BAFöGÄndG) (Änderungsantrag Bündnis 90/Die Grünen und Die Linke);Nein
09.05.2019;Konzerntransparenz gegen Steuerflucht;Ja
09.05.2019;Bundeswehreinsatz EU NAVFOR Somalia-Atalanta;Nicht abg.
                                                    
09.05.2019;Bundeswehreinsatz (EUTM Mali);Nicht abg.
                                                    
09.05.2019;Bundeswehreinsatz in Mali (MINUSMA);Nicht abg.
                                                    
11.04.2019;Sozialschutz für Arbeitnehmer und Selbständige;Nicht abg.
                                                    
21.03.2019;Änderung des Marktorganisationsgesetzes;Ja
21.03.2019;Bundeswehreinsatz in Darfur (UNAMID);Ja
21.03.2019;Bundeswehreinsatz Republik Südsudan (UNMISS);Ja
21.03.2019;Bundeswehreinsatz im Mittelmeer (SEA GUARDIAN);Ja
21.03.2019;Entschließungsantrag FDP Bundeswehreinsatz in Afghanistan (Resolute Support);Nein
21.03.2019;Bundeswehreinsatz in Afghanistan (Resolute Support);Ja
20.03.2019;Deutsch-französisches Parlamentsabkommen;Ja
15.03.2019;Für die Einführung eines inklusiven Wahlrechts;Nicht abg.
                                                    
15.03.2019;Entwurf eines Gesetzes zur Umsetzung der UN-Behindertenrechtskonvention im Wahlrecht;Nicht abg.
                                                    
15.03.2019;Entwurf eines Gesetzes für mehr Teilhabe im Wahlrecht;Nicht abg.
                                                    
14.03.2019;Deutsche und europäische Israelpolitik;Nicht abg.
                                                    
14.03.2019;Einheitliche Messverfahren für Stickoxide durchsetzen - Fahrverbote wirksam verhindern;Ja
14.03.2019;Änderung des Bundes-Immissionsschutzgesetzes (Gesetzentwurf von CDU/CSU und SPD);Ja
21.02.2019;Selbstbestimmte Familienplanung ermöglichen - Kostenloser Zugang zu Verhütungsmitteln für Menschen mit geringem Einkommen;Ja
21.02.2019;Entwurf eines Gesetzes zur Änderung des Strafgesetzbuches - Aufhebung von § 219a StGB (Gesetzentwurf der Fraktion Bündnis 90/Die Grünen);Nein
21.02.2019;Aufhebung des Werbeverbots für Schwangerschaftsabbrüche (Gesetzentwurf der Fraktion Die Linke);Nein
21.02.2019;Verbesserung der Information über einen Schwangerschaftsabbruch (Gesetzentwurf der Fraktionen der CDU/CSU und SPD);Ja
21.02.2019;Gefahr Wolf - Unkontrollierte Population stoppen;Ja
21.02.2019;Beschlussempfehlung des Vermittlungsausschusses (Änderung des Grundgesetzes);Ja
18.01.2019;Änderung des Asylgesetzes (Entschließungsantrag der FDP-Fraktion);Nein
18.01.2019;Änderung des Asylgesetzes (Gesetzentwurf der BReg);Ja
13.12.2018;Solidaritätszuschlag;Nicht abg.
                                                    
30.11.2018;Globaler Pakt für Migration;Nicht abg.
                                                    
29.11.2018;Änderung des Tierschutzgesetzes;Nicht abg.
                                                    
29.11.2018;Mietrechtsanpassung - Änderungsantrag Bündnis 90/Die Grünen;Nicht abg.
                                                    
29.11.2018;Mietrechtsanpassung - Änderungsantrag Die Linke.;Nicht abg.
                                                    
29.11.2018;Steuerlichen Förderung des Mietwohnungsneubaus - Änderungsantrag Bündnis 90/Die Grünen;Nein
29.11.2018;Globaler Pakt für Migration;Ja
29.11.2018;Änderung des Grundgesetzes - Bildung, Bau, Verkehr;Ja
